,Car_Name,Brand,Model,Year,Variant,Fuel_Type,Kms_Driven,City,Price,Test_Drive_Availability
454,Mercedes-Benz GLE 250 d,Mercedes-Benz,GLE,2017,250 d,Diesel,130000,"Rockdale Somajiguda, Hyderabad",2700000,
455,BMW X1 sDrive20d xLine,BMW,X1,2017,sDrive20d xLine,Diesel,71974,"Rockdale Somajiguda, Hyderabad",1900000,
456,Toyota Fortuner 2.8 4x2,Toyota,Fortuner,2019,2.8 4x2,Diesel,67600,"Attapur, Hyderabad",3300000,
457,Hyundai Grand i10 Asta,Hyundai,Grand,2014,i10 Asta,Diesel,122800,"Attapur, Hyderabad",400000,
458,Skoda Rapid Style 1.6,Skoda,Rapid,2018,Style 1.6,Petrol,36467,"Madhapur, Hyderabad",950000,
459,Hyundai Elite i20 Asta,Hyundai,Elite,2017,i20 Asta,Diesel,69874,"Shaikpet, Hyderabad",550000,
460,Jeep Wrangler Unlimited 4x4,Jeep,Wrangler,2017,Unlimited 4x4,Petrol,80000,"Madhapur, Hyderabad",4500000,
461,Mercedes-Benz GLA 200 d,Mercedes-Benz,GLA,2019,200 d,Diesel,17360,"Madhapur, Hyderabad",2950000,
462,Toyota Land Cruiser Prado,Toyota,Land,2003,Cruiser Prado,Petrol,82500,"Attapur, Hyderabad",1600000,
463,Mercedes-Benz E-Class E 220,Mercedes-Benz,E-Class,2022,E 220,Diesel,21000,"Madhapur, Hyderabad",5650000,
464,Toyota Land Cruiser Prado,Toyota,Land,2003,Cruiser Prado,Petrol,82500,"Attapur, Hyderabad",1600000,
465,Jeep Wrangler Unlimited 4x4,Jeep,Wrangler,2017,Unlimited 4x4,Petrol,80000,"Madhapur, Hyderabad",4500000,
466,Mercedes-Benz GLA 200 d,Mercedes-Benz,GLA,2019,200 d,Diesel,17360,"Madhapur, Hyderabad",2950000,
467,Mercedes-Benz A-Class A 180,Mercedes-Benz,A-Class,2015,A 180,Petrol,65000,"Rockdale Somajiguda, Hyderabad",800000,
468,Mercedes-Benz GLA 220d [2021-2023],Mercedes-Benz,GLA,2022,220d [2021-2023],Diesel,34797,"Rockdale Somajiguda, Hyderabad",4200000,
469,Mercedes-Benz GLE Coupe 43,Mercedes-Benz,GLE,2017,Coupe 43,Petrol,9500,"Rockdale Somajiguda, Hyderabad",6500000,
470,Mercedes-Benz C-Class C220d Progressive,Mercedes-Benz,C-Class,2020,C220d Progressive,Diesel,59094,"Rockdale Somajiguda, Hyderabad",3625000,
471,Mercedes-Benz GLE 250 d,Mercedes-Benz,GLE,2016,250 d,Diesel,112386,"Rockdale Somajiguda, Hyderabad",2500000,
472,Maruti Suzuki Ertiga ZXi,Maruti,Suzuki,2019,Ertiga ZXi,Petrol,9500,"Rockdale Somajiguda, Hyderabad",1050000,
473,Mercedes-Benz GLE 300d 4MATIC,Mercedes-Benz,GLE,2023,300d 4MATIC,Diesel,41322,"Rockdale Somajiguda, Hyderabad",8300000,
474,Mercedes-Benz AMG GLC43 Coupe,Mercedes-Benz,AMG,2024,GLC43 Coupe,Petrol,6389,"Rockdale Somajiguda, Hyderabad",9738750,
475,Mercedes-Benz E-Class E 220,Mercedes-Benz,E-Class,2022,E 220,Diesel,21000,"Madhapur, Hyderabad",5650000,
476,Mercedes-Benz GLE 350 d,Mercedes-Benz,GLE,2015,350 d,Diesel,130000,"Madhapur, Hyderabad",3050000,
477,BMW 3 Series 320d,BMW,3,2018,Series 320d,Diesel,50000,"Madhapur, Hyderabad",2750000,
478,Toyota Fortuner 4X2 MT,Toyota,Fortuner,2022,4X2 MT,Diesel,54000,"Madhapur, Hyderabad",3750000,
479,Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,A-Class,2022,Limousine 200d,Diesel,50054,"Rockdale Somajiguda, Hyderabad",4000000,
480,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2018,C 220d,Diesel,66347,"Rockdale Somajiguda, Hyderabad",3000000,
481,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2022,C 220d,Diesel,23619,"Rockdale Somajiguda, Hyderabad",5100000,
482,Mercedes-Benz GLC 300 4MATIC,Mercedes-Benz,GLC,2024,300 4MATIC,Petrol,3458,"Rockdale Somajiguda, Hyderabad",7257600,
483,Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,A-Class,2024,Limousine 200d,Diesel,6472,"Rockdale Somajiguda, Hyderabad",4636525,
484,Audi Q3 30 TDI,Audi,Q3,2018,30 TDI,Diesel,73125,"Rockdale Somajiguda, Hyderabad",1975000,
485,Mercedes-Benz E-Class E220 CDI,Mercedes-Benz,E-Class,2012,E220 CDI,Diesel,131190,"Rockdale Somajiguda, Hyderabad",900000,
486,Mercedes-Benz GLE Coupe 43,Mercedes-Benz,GLE,2017,Coupe 43,Petrol,44568,"Rockdale Somajiguda, Hyderabad",6000000,
487,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2024,C 220d,Diesel,6500,"Madhapur, Hyderabad",5300000,
488,Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,A-Class,2024,Limousine 200d,Diesel,6472,"Rockdale Somajiguda, Hyderabad",4636525,
489,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2018,C 220d,Diesel,66347,"Rockdale Somajiguda, Hyderabad",3000000,
490,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2022,C 220d,Diesel,23619,"Rockdale Somajiguda, Hyderabad",5100000,
491,Mercedes-Benz E-Class E 200,Mercedes-Benz,E-Class,2020,E 200,Petrol,11700,"Madhapur, Hyderabad",4650000,
492,Mercedes-Benz E-Class E 220,Mercedes-Benz,E-Class,2020,E 220,Diesel,34521,"Madhapur, Hyderabad",4350000,
493,Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,A-Class,2023,Limousine 200d,Diesel,63800,"Madhapur, Hyderabad",3500000,
494,Mercedes-Benz AMG C 43,Mercedes-Benz,AMG,2023,C 43,Petrol,5200,"Madhapur, Hyderabad",10000000,
495,Mercedes-Benz AMG GLC43 Coupe,Mercedes-Benz,AMG,2024,GLC43 Coupe,Petrol,7000,"Madhapur, Hyderabad",11200000,
496,Mercedes-Benz A-Class Limousine 200,Mercedes-Benz,A-Class,2024,Limousine 200,Petrol,5500,"Madhapur, Hyderabad",4000000,
497,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2024,C 220d,Diesel,6500,"Madhapur, Hyderabad",5300000,
498,Mercedes-Benz GLA 200 [2021-2023],Mercedes-Benz,GLA,2024,200 [2021-2023],Petrol,4600,"Madhapur, Hyderabad",4600000,
499,Mahindra TUV300 T10,Mahindra,TUV300,2017,T10,Diesel,90905,"Uppal, Hyderabad",845000,
500,Maruti Suzuki Wagon R,Maruti,Suzuki,2012,Wagon R,CNG,83487,"Uppal, Hyderabad",260000,
501,Toyota Innova Crysta 2.8,Toyota,Innova,2016,Crysta 2.8,Diesel,185804,"Uppal, Hyderabad",1490000,
502,Maruti Suzuki Swift VDi,Maruti,Suzuki,2016,Swift VDi,Diesel,81562,"Uppal, Hyderabad",525000,
503,Volkswagen Vento Highline Diesel,Volkswagen,Vento,2012,Highline Diesel,Diesel,73483,"Uppal, Hyderabad",360000,
504,Skoda Rapid 1.5 TDI,Skoda,Rapid,2015,1.5 TDI,Diesel,94737,"Uppal, Hyderabad",520000,
505,Tata Indica Vista Aqua,Tata,Indica,2010,Vista Aqua,Diesel,68598,"Uppal, Hyderabad",185000,
506,Honda Amaze 1.5 SX,Honda,Amaze,2015,1.5 SX,Diesel,111179,"Uppal, Hyderabad",490000,
507,Skoda Slavia Style 1.0L,Skoda,Slavia,2022,Style 1.0L,Petrol,18421,"Madhapur, Hyderabad",1650000,
508,Jaguar XE Portfolio,Jaguar,XE,2019,Portfolio,Petrol,52346,"Madhapur, Hyderabad",3400000,
509,Maruti Suzuki Swift VXi,Maruti,Suzuki,2018,Swift VXi,Petrol,87405,"Madhapur, Hyderabad",650000,
510,Maruti Suzuki Ciaz Alpha,Maruti,Suzuki,2022,Ciaz Alpha,Petrol,43941,"Shaikpet, Hyderabad",855000,
511,Mercedes-Benz C-Class 250 CDI,Mercedes-Benz,C-Class,2012,250 CDI,Diesel,62451,"Madhapur, Hyderabad",1300000,
512,Maruti Suzuki Ciaz Alpha,Maruti,Suzuki,2022,Ciaz Alpha,Petrol,43941,"Shaikpet, Hyderabad",855000,
513,Honda Jazz S Diesel,Honda,Jazz,2016,S Diesel,Diesel,102736,"Uppal, Hyderabad",495000,
514,Skoda Slavia Style 1.0L,Skoda,Slavia,2022,Style 1.0L,Petrol,18421,"Madhapur, Hyderabad",1650000,
515,Jaguar XE Portfolio,Jaguar,XE,2019,Portfolio,Petrol,52346,"Madhapur, Hyderabad",3400000,
516,Maruti Suzuki Swift VXi,Maruti,Suzuki,2018,Swift VXi,Petrol,87405,"Madhapur, Hyderabad",650000,
517,Mercedes-Benz GLE 250 d,Mercedes-Benz,GLE,2018,250 d,Diesel,88740,"Madhapur, Hyderabad",4000000,
518,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,GLC,2024,220d 4MATIC,Diesel,20,"Madhapur, Hyderabad",7050000,
519,Mercedes-Benz A-Class Limousine 200d,Mercedes-Benz,A-Class,2024,Limousine 200d,Diesel,4000,"Madhapur, Hyderabad",4400000,
520,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,GLC,2024,220d 4MATIC,Diesel,4500,"Madhapur, Hyderabad",7150000,
521,Mercedes-Benz GLA 200d Urban,Mercedes-Benz,GLA,2018,200d Urban,Diesel,144970,"Rockdale Somajiguda, Hyderabad",1900000,
522,Mercedes-Benz EQS 580 4MATIC,Mercedes-Benz,EQS,2024,580 4MATIC,Electric,3884,"Rockdale Somajiguda, Hyderabad",15049750,
523,Mercedes-Benz S-Class (W222) S,Mercedes-Benz,S-Class,2024,(W222) S,Diesel,6932,"Rockdale Somajiguda, Hyderabad",16924950,
524,Mercedes-Benz C-Class C 200,Mercedes-Benz,C-Class,2024,C 200,Petrol,2669,"Rockdale Somajiguda, Hyderabad",5613300,
525,Mercedes-Benz S-Class (W222) S,Mercedes-Benz,S-Class,2024,(W222) S,Diesel,5800,"Rockdale Somajiguda, Hyderabad",16924950,
526,Mercedes-Benz EQA 250 Plus,Mercedes-Benz,EQA,2024,250 Plus,Electric,6319,"Rockdale Somajiguda, Hyderabad",6350400,
527,Mercedes-Benz EQB 350 4MATIC,Mercedes-Benz,EQB,2024,350 4MATIC,Electric,6328,"Rockdale Somajiguda, Hyderabad",7456050,
528,Mercedes-Benz GLA 220d 4MATIC,Mercedes-Benz,GLA,2024,220d 4MATIC,Diesel,12146,"Rockdale Somajiguda, Hyderabad",5137900,
529,Mercedes-Benz GLE 450 4MATIC,Mercedes-Benz,GLE,2024,450 4MATIC,Petrol,6035,"Rockdale Somajiguda, Hyderabad",10546200,
530,Audi Q3 30 TDI,Audi,Q3,2018,30 TDI,Diesel,49191,"Madhapur, Hyderabad",2450000,
531,Mercedes-Benz GLS 350 d,Mercedes-Benz,GLS,2017,350 d,Diesel,94748,"Madhapur, Hyderabad",4400000,
532,Mercedes-Benz E-Class E350 CDI,Mercedes-Benz,E-Class,2011,E350 CDI,Diesel,96081,"Madhapur, Hyderabad",1350000,
533,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2024,C 220d,Diesel,2000,"Madhapur, Hyderabad",5500000,
534,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,GLC,2022,220d 4MATIC,Diesel,51000,"Madhapur, Hyderabad",4750000,
535,Maruti Suzuki Celerio VXi,Maruti,Suzuki,2020,Celerio VXi,Petrol,45728,"Uppal, Hyderabad",490000,
536,Mercedes-Benz E-Class E350 CDI,Mercedes-Benz,E-Class,2011,E350 CDI,Diesel,96081,"Madhapur, Hyderabad",1350000,
537,Mercedes-Benz C-Class C 220d,Mercedes-Benz,C-Class,2024,C 220d,Diesel,2000,"Madhapur, Hyderabad",5500000,
538,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,GLC,2022,220d 4MATIC,Diesel,51000,"Madhapur, Hyderabad",4750000,
539,Maruti Suzuki Celerio VXi,Maruti,Suzuki,2020,Celerio VXi,Petrol,45728,"Uppal, Hyderabad",490000,
540,Audi Q3 35 TDI,Audi,Q3,2014,35 TDI,Diesel,136294,"Madhapur, Hyderabad",1450000,
541,Hyundai Grand i10 Nios,Hyundai,Grand,2020,i10 Nios,Diesel,57307,"Shaikpet, Hyderabad",650000,
542,Maruti Suzuki Alto LXi,Maruti,Suzuki,2009,Alto LXi,Petrol,151305,"Shaikpet, Hyderabad",100000,
543,Hyundai Alcazar Prestige (O),Hyundai,Alcazar,2021,Prestige (O),Petrol,38174,"Shaikpet, Hyderabad",1450000,
544,Maruti Suzuki Dzire VDi,Maruti,Suzuki,2018,Dzire VDi,Diesel,74759,"Bellavista, Hyderabad",668000,
545,Hyundai Eon Era +,Hyundai,Eon,2015,Era +,Petrol,72223,"Jubilee Hills, Hyderabad",256000,
546,Hyundai Eon 1.0 Kappa,Hyundai,Eon,2016,1.0 Kappa,Petrol,77255,"Jubilee Hills, Hyderabad",252000,
547,Maruti Suzuki Wagon R,Maruti,Suzuki,2024,Wagon R,Petrol,14718,"Beerappagadda, Hyderabad",673000,
548,Renault Kwid RXL,Renault,Kwid,2019,RXL,Petrol,55628,"Jubilee Hills, Hyderabad",320000,
549,Maruti Suzuki Ciaz Alpha,Maruti,Suzuki,2018,Ciaz Alpha,Petrol,57527,"Bellavista, Hyderabad",737000,
550,Renault Kwid 1.0 RXT,Renault,Kwid,2021,1.0 RXT,Petrol,39599,"Bellavista, Hyderabad",406000,
551,Maruti Suzuki Alto 800,Maruti,Suzuki,2018,Alto 800,Petrol,56504,"Beerappagadda, Hyderabad",321000,
552,Maruti Suzuki Alto 800,Maruti,Suzuki,2021,Alto 800,Petrol,51874,"Beerappagadda, Hyderabad",315000,
553,Maruti Suzuki Alto 800,Maruti,Suzuki,2013,Alto 800,Petrol,35869,"Bellavista, Hyderabad",255000,
554,Tata Tiago XZA Plus,Tata,Tiago,2020,XZA Plus,Petrol,3420,"Jubilee Hills, Hyderabad",639000,
555,Maruti Suzuki Alto 800,Maruti,Suzuki,2016,Alto 800,Petrol,60640,"Bellavista, Hyderabad",267000,
556,Maruti Suzuki Alto 800,Maruti,Suzuki,2016,Alto 800,Petrol,43468,"Bellavista, Hyderabad",273000,
557,Maruti Suzuki Alto 800,Maruti,Suzuki,2017,Alto 800,Petrol,60689,"Bellavista, Hyderabad",287000,
558,Maruti Suzuki Baleno Zeta,Maruti,Suzuki,2016,Baleno Zeta,Petrol,54083,"Beerappagadda, Hyderabad",543000,
559,Maruti Suzuki Alto 800,Maruti,Suzuki,2019,Alto 800,Petrol,56950,"Beerappagadda, Hyderabad",340000,
560,Maruti Suzuki Alto 800,Maruti,Suzuki,2018,Alto 800,Petrol,29407,"Bellavista, Hyderabad",336000,
561,Maruti Suzuki Alto 800,Maruti,Suzuki,2021,Alto 800,Petrol,51874,"Beerappagadda, Hyderabad",315000,
562,Maruti Suzuki Alto 800,Maruti,Suzuki,2016,Alto 800,Petrol,43468,"Bellavista, Hyderabad",273000,
563,Maruti Suzuki Alto K10,Maruti,Suzuki,2019,Alto K10,Petrol,39139,"Jubilee Hills, Hyderabad",373000,
564,Hyundai i10 Magna 1.2,Hyundai,i10,2010,Magna 1.2,Petrol,60131,"Bellavista, Hyderabad",235000,
565,Tata Tiago XZA Plus,Tata,Tiago,2020,XZA Plus,Petrol,3420,"Jubilee Hills, Hyderabad",639000,
566,Maruti Suzuki Alto 800,Maruti,Suzuki,2013,Alto 800,Petrol,35869,"Bellavista, Hyderabad",255000,
567,Maruti Suzuki Alto 800,Maruti,Suzuki,2019,Alto 800,Petrol,56950,"Beerappagadda, Hyderabad",340000,
568,Maruti Suzuki Alto 800,Maruti,Suzuki,2016,Alto 800,Petrol,60640,"Bellavista, Hyderabad",267000,
569,Maruti Suzuki Alto 800,Maruti,Suzuki,2015,Alto 800,Petrol,27480,"Beerappagadda, Hyderabad",268000,
